Participant, Trial, Date, Time, Milliseconds Since Trial Start, X Rotation (Deg), Y Rotation (Deg), Z Rotation (Deg), 
47, 18, 09/11/2018, 17:07:33, 66.220999999903, 0.032609009034974, -0.036876140077687, -0.066931643710911, 
47, 18, 09/11/2018, 17:07:33, 99.572999999858, 0.08473927032748, -0.031573247757991, -0.03764180206422, 
47, 18, 09/11/2018, 17:07:33, 132.86399999983, 0.063694140745104, -0.02715973489296, -0.035690472197384, 
47, 18, 09/11/2018, 17:07:33, 166.08699999982, 0.036592491332162, -0.050711138289233, -0.059026689436502, 
47, 18, 09/11/2018, 17:07:33, 199.56400000001, 0.061370382845026, -0.0202769476325, -0.040455843278302, 
47, 18, 09/11/2018, 17:07:33, 232.83699999982, 0.033252786803086, -0.013615733962557, -0.034003040495688, 
47, 18, 09/11/2018, 17:07:33, 266.12799999979, 0.066020645873669, -0.04097859475686, -0.0193136965331, 
47, 18, 09/11/2018, 17:07:33, 299.56499999994, 0.059021756746765, -0.038731091539037, -0.021752877045555, 
47, 18, 09/11/2018, 17:07:33, 332.89099999983, 0.030944973785784, -0.039005582169062, -0.0083100417176323, 
47, 18, 09/11/2018, 17:07:33, 366.35299999989, 0.01218795501656, -0.036887623487778, 0.00062769493100301, 
47, 18, 09/11/2018, 17:07:33, 399.57199999993, 0.015295216003568, -0.057736164826006, -0.029150697052288, 
47, 18, 09/11/2018, 17:07:33, 432.91799999983, 0.0053302100831281, -0.023142113983676, -0.020470404602513, 
47, 18, 09/11/2018, 17:07:33, 466.21999999997, 0.061324015866477, -0.017964273146803, -0.038186215025197, 
47, 18, 09/11/2018, 17:07:33, 499.57499999995, 0.050588785675031, -0.075877084579441, -0.039948778472886, 
47, 18, 09/11/2018, 17:07:33, 533.00199999986, 0.064048885438457, -0.038765949372212, -0.044822128785191, 
47, 18, 09/11/2018, 17:07:33, 566.51199999987, 0.033662894713659, -0.022919936278822, -0.050091151060975, 
47, 18, 09/11/2018, 17:07:33, 599.71999999997, 0.037825592009624, -0.034313847335023, -0.005947448898178, 
47, 18, 09/11/2018, 17:07:33, 633.05299999984, 0.017080854309467, -0.043787279572521, -0.0084708275758747, 
47, 18, 09/11/2018, 17:07:33, 666.44699999993, 0.0012153079834629, -0.064802538486104, -0.013100125855187, 
47, 18, 09/11/2018, 17:07:33, 699.52099999995, 0.046840633723489, -0.031833484783903, 0.0080529882194347, 
47, 18, 09/11/2018, 17:07:33, 733.05999999982, 0.053780661439202, -0.015614690918321, -0.0059154561768913, 
47, 18, 09/11/2018, 17:07:33, 766.39699999988, 0.081939223484775, -0.033789841463058, -0.0098775772100213, 
47, 18, 09/11/2018, 17:07:33, 799.56699999981, 0.096238405358853, -0.038341979993283, -0.02118991177233, 
47, 18, 09/11/2018, 17:07:33, 833.05899999989, 0.05887627240048, -0.024872627472168, -0.026543938843034, 
47, 18, 09/11/2018, 17:07:33, 866.39799999981, 0.014473082886216, -0.027618653641651, -0.0063891284181778, 
47, 18, 09/11/2018, 17:07:33, 899.66799999983, 0.0082393844667139, -0.053295432952914, -0.027059176781666, 
47, 18, 09/11/2018, 17:07:33, 933.06499999994, 0.023018492614972, -0.0808592731026, -0.05420310095268, 
47, 18, 09/11/2018, 17:07:33, 966.40599999996, 0.038500391999551, -0.039052124940243, -0.045220255357315, 
47, 18, 09/11/2018, 17:07:33, 999.73199999984, 0.015420084410481, -0.048577687313303, -0.045484217739557, 
47, 18, 09/11/2018, 17:07:33, 1033.0669999998, 0.038625669068155, -0.055197592484624, -0.038070072113798, 
47, 18, 09/11/2018, 17:07:34, 1066.4129999999, 0.054221224519597, -0.015706607361354, -0.03367907928577, 
47, 18, 09/11/2018, 17:07:34, 1099.7719999999, 0.054402746031035, -0.038782356688256, -0.024132846495837, 
47, 18, 09/11/2018, 17:07:34, 1133.0739999998, 0.014772810424463, -0.027692920119599, -0.02491005688419, 
