Participant, Trial, Date, Time, Milliseconds Since Trial Start, X Gravity, Y Gravity, Z Gravity, X Gravity Raw, Y Gravity Raw, Z Gravity Raw, Delta Time, 
45, 8, 07/11/2018, 14:15:45, 36.181999999972, -0.60677208826677, -0.14541536266796, -0.66486194923407, 0.066574096679688, -0.23007202148438, -0.94642639160156, 0.016141000000061, 
45, 8, 07/11/2018, 14:15:45, 46.244999999995, -0.53926657133462, -0.15383677806132, -0.69275289054114, 0.068283081054688, -0.22962951660156, -0.94377136230469, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 56.207999999984, -0.47834986293163, -0.16112460904425, -0.71833844133077, 0.069900512695312, -0.22671508789062, -0.9486083984375, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 66.318999999959, -0.42330967644315, -0.16727929901873, -0.74188576174848, 0.072052001953125, -0.22267150878906, -0.95381164550781, 0.010071000004245, 
45, 8, 07/11/2018, 14:15:45, 76.440000000002, -0.37373688750978, -0.17251944773014, -0.76361545949941, 0.072418212890625, -0.21968078613281, -0.95918273925781, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 86.435999999987, -0.32895200491114, -0.17728135793759, -0.78336749997525, 0.074111938476562, -0.22013854980469, -0.96113586425781, 0.010070000003907, 
45, 8, 07/11/2018, 14:15:45, 96.666999999958, -0.28852354025987, -0.18185546823758, -0.80090324753632, 0.075332641601562, -0.2230224609375, -0.95872497558594, 0.010062999994261, 
45, 8, 07/11/2018, 14:15:45, 108.60199999996, -0.25192735078467, -0.18611102248804, -0.81646721965769, 0.077438354492188, -0.22441101074219, -0.95654296875, 0.010078999999678, 
45, 8, 07/11/2018, 14:15:45, 117.31, -0.21904113426089, -0.19016227375487, -0.83034509485989, 0.076934814453125, -0.22662353515625, -0.95524597167969, 0.010071000004245, 
45, 8, 07/11/2018, 14:15:45, 126.72399999999, -0.18926958919417, -0.19387096093016, -0.84275583683874, 0.07867431640625, -0.22724914550781, -0.95445251464844, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 136.777, -0.16235160244272, -0.19746360116527, -0.85395449631893, 0.079910278320312, -0.22979736328125, -0.95474243164062, 0.010070000003907, 
45, 8, 07/11/2018, 14:15:45, 146.87399999995, -0.13826274346798, -0.20082515120499, -0.86369454473391, 0.078536987304688, -0.2310791015625, -0.95135498046875, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 156.978, -0.11708020691415, -0.20384596860402, -0.87270015129568, 0.073562622070312, -0.23103332519531, -0.95375061035156, 0.010071000004245, 
45, 8, 07/11/2018, 14:15:45, 167.08100000001, -0.097991509953207, -0.20636786588425, -0.8801780609708, 0.073806762695312, -0.22906494140625, -0.94747924804688, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 177.23699999996, -0.080822363840699, -0.2084804079091, -0.88652213231512, 0.073699951171875, -0.22749328613281, -0.94361877441406, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 187.36799999996, -0.065611221206629, -0.21008872698147, -0.89233708216955, 0.0712890625, -0.22456359863281, -0.94467163085938, 0.010070000003907, 
45, 8, 07/11/2018, 14:15:45, 197.35599999997, -0.051791493128935, -0.21133327225208, -0.89738590569088, 0.072586059570312, -0.2225341796875, -0.94282531738281, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 207.37, -0.039283547429322, -0.21237859492921, -0.9017909918796, 0.073287963867188, -0.22178649902344, -0.94143676757812, 0.010054000005766, 
45, 8, 07/11/2018, 14:15:45, 219.36499999999, -0.028040129209828, -0.21342924861989, -0.90562281798461, 0.073150634765625, -0.22288513183594, -0.94010925292969, 0.010087999995449, 
45, 8, 07/11/2018, 14:15:45, 227.94299999997, -0.01794241511697, -0.21474867727352, -0.90899211577599, 0.07293701171875, -0.22662353515625, -0.93931579589844, 0.010071000004245, 
45, 8, 07/11/2018, 14:15:45, 237.58799999999, -0.0088926194060542, -0.21606738864773, -0.91219843398355, 0.072555541992188, -0.22793579101562, -0.94105529785156, 0.010069999996631, 
45, 8, 07/11/2018, 14:15:45, 247.62099999998, -0.00066387992638625, -0.21757313757593, -0.91532520923754, 0.073394775390625, -0.23112487792969, -0.94346618652344, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 257.63199999998, 0.0067740290623461, -0.21908852889646, -0.91859859651691, 0.073715209960938, -0.23272705078125, -0.94805908203125, 0.010071000004245, 
45, 8, 07/11/2018, 14:15:45, 267.85799999995, 0.013965583675643, -0.22049510569431, -0.922119901416, 0.078689575195312, -0.233154296875, -0.95381164550781, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 277.93099999998, 0.020613458901828, -0.22160843692176, -0.9260993175244, 0.0804443359375, -0.23162841796875, -0.9619140625, 0.010071000004245, 
45, 8, 07/11/2018, 14:15:45, 287.98299999995, 0.026749134496021, -0.22223812057333, -0.93031098001024, 0.08197021484375, -0.2279052734375, -0.96821594238281, 0.010069999996631, 
45, 8, 07/11/2018, 14:15:45, 298.19500000001, 0.032034731300325, -0.2225988422074, -0.93415488200922, 0.079605102539062, -0.22584533691406, -0.96875, 0.010071000004245, 
45, 8, 07/11/2018, 14:15:45, 308.02899999998, 0.03682381188123, -0.22303793259604, -0.93772273121064, 0.079925537109375, -0.22698974609375, -0.96983337402344, 0.010070999996969, 
45, 8, 07/11/2018, 14:15:45, 319.42999999999, 0.041692456083732, -0.22372913445362, -0.94113521150754, 0.08551025390625, -0.22994995117188, -0.97184753417969, 0.01005399999849, 
